,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
34,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,ORDER RELATED ENQUIRY_ACCESSORIES_WARRANTY RELATED ENQUIRY,0.25776602775941837,0.11103767349636484,0.08327825512227363,0.3230769230769231,2.9096153846153845,0.054656515093468416,1.3132398005167336
27,ORDER RELATED ENQUIRY_ACCESSORIES_RETURN POLICY/PRODUCT RETURN ENQUIRY,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.03502974223397224,0.25776602775941837,0.011235955056179775,0.32075471698113206,1.2443638122883405,0.0022064775470924166,1.092733348020856
48,ORDER RELATED ENQUIRY_MI PHONE_DELIVERY STATUS,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.17184401850627892,0.48314606741573035,0.05221414408460013,0.3038461538461538,0.6288908765652951,-0.03081161766562452,0.7424421131044757
47,ORDER RELATED ENQUIRY_MI PHONE_REFUND STATUS,ORDER RELATED ENQUIRY_MI PHONE_DELIVERY STATUS,0.09781890284203569,0.17184401850627892,0.028420356906807668,0.29054054054054057,1.6907224532224534,0.011610763556556988,1.1673055739149591
92,TECHNICAL COMPLAINT_FOLLOW UP_FOLLOW UP ON COMPLAINT,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.05750165234633179,0.48314606741573035,0.016523463317911435,0.2873563218390805,0.5947607591553061,-0.011258233883125274,0.7252627763682492
124,TECHNICAL ENQUIRY_MI PHONE_MIUI VERSION INQUIRY,TECHNICAL ENQUIRY_ACCESSORIES_HOW TO FACTORY RESET THE BAND,0.08592200925313946,0.25776602775941837,0.023793787177792465,0.2769230769230769,1.0743195266272187,0.0016460121555027171,1.0264937913965488
7,ORDER RELATED COMPLAINT_FOLLOW UP_FOLLOW UP ON COMPLAINT,ORDER RELATED ENQUIRY_MI PHONE_DELIVERY STATUS,0.1116986120290813,0.17184401850627892,0.02775941837409121,0.24852071005917162,1.4461993627674101,0.008564680021440094,1.1020343375782589
74,ORDER RELATED ENQUIRY_POCO_REPAIR ENQUIRY,TECHNICAL COMPLAINT_POCO_DELAY IN REPAIR BY SERVICE CENTER,0.046265697290152015,0.013879709187045605,0.011235955056179775,0.24285714285714285,17.497278911564624,0.01059380063245658,1.3024230256020153
58,ORDER RELATED ENQUIRY_MI PHONE_REFUND STATUS,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,0.09781890284203569,0.48314606741573035,0.02247191011235955,0.22972972972972971,0.4754871150219987,-0.0247889081146914,0.6710033510743149
31,OTHERS_UNSUPPORTED_RE-DIRECTED TO POCO,ORDER RELATED ENQUIRY_ACCESSORIES_WARRANTY RELATED ENQUIRY,0.48314606741573035,0.11103767349636484,0.1037673496364838,0.21477428180574554,1.9342469545957917,0.05011993435172326,1.1321105586657791
